opinion,opinion_tri,opinion_bin,opinion_abs,babysitter,cdmx,constant,edad,edad_sq,hijos,hijos_bin,hijos_prim,hijos_prim_o_secu,hijos_secu,hijos_x_babysitter,hijos_x_prim_o_secu,imss,internet,mujer,pcs,publica,ratio_imss_resid,ratio_imss_trab,ratio_pcs_hijos,ratio_pcs_resid,ratio_trab_resid,ratio_tvs_resid,residentes,trabajadores,transporte,tvs,vacunado,vulnerable,wfh
2.0,1.0,0.0,,0.0,Miguel Hidalgo,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
3.0,2.0,1.0,1.0,0.0,Miguel Hidalgo,1,29.0,841.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.5,1.0,0.0,0.75,0.5,1.25,4.0,2.0,1.0,5.0,1.0,1.0,0.0
3.0,2.0,1.0,1.0,0.0,Coyoacán,1,33.0,1089.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,3.0,3.0,1.0,2.0,1.0,1.0,0.0
3.0,2.0,1.0,1.0,1.0,Iztapalapa,1,32.0,1024.0,1.0,1,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.6666666666666666,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,2.0,1.0,2.0,1.0,0.0,0.0
3.0,2.0,1.0,1.0,0.0,Coyoacán,1,69.0,4761.0,2.0,1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,1.0,2.0,4.0,2.0,0.5,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0
3.0,2.0,1.0,1.0,0.0,Magdalena Contreras,1,30.0,900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.0,0.0
3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,31.0,961.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,0.3333333333333333,0.5,0.0,0.8333333333333334,0.6666666666666666,0.5,6.0,4.0,0.0,3.0,1.0,1.0,1.0
3.0,2.0,1.0,1.0,0.0,Cuahutémoc,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.5,2.0,2.0,1.0,3.0,1.0,0.0,1.0
2.0,1.0,0.0,,0.0,Coyoacán,1,30.0,900.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.5,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,Magdalena Contreras,1,70.0,4900.0,3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,Tlalpan,1,32.0,1024.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,1.5,1.0,1.5,2.0,2.0,1.0,3.0,1.0,1.0,1.0
3.0,2.0,1.0,1.0,0.0,Benito Juárez,1,26.0,676.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,2.5,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,Magdalena Contreras,1,35.0,1225.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.5,1.0,0.0,1.5,0.5,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,Magdalena Contreras,1,35.0,1225.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.5,1.0,0.0,1.5,0.5,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0
